Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2018-01-06 00:00:00;16927.99;17234.99;16220;17149.67;9501.02;158389594.51;16670.8
2018-01-07 00:00:00;17142.43;17149.97;15707.16;16124.02;8632.81;141555094.16;16397.33
2018-01-08 00:00:00;16173.98;16300;13900;14999.99;16676.35;251877784.14;15103.89
2018-01-09 00:00:00;14999.99;15367.18;14123.97;14403.51;13913.52;204579121.58;14703.62
2018-01-10 00:00:00;14403.51;14900;13412;14890.02;18479.01;261210687.03;14135.53
2018-01-11 00:00:00;14899.99;14973.07;12800;13243.83;19630.08;266846190.81;13593.74
2018-01-12 00:00:00;13249.99;14152.19;12807.27;13781.41;13433.08;183399343.52;13652.81
2018-01-13 00:00:00;13829.28;14619.1;13789.42;14197.78;7488.99;106595650.09;14233.65
2018-01-14 00:00:00;14197.78;14365.81;13072.22;13647.99;7588.64;102783826.66;13544.44
2018-01-15 00:00:00;13647.99;14394.36;13429.25;13607.04;9444.64;131049852.36;13875.59
2018-01-16 00:00:00;13581.66;13607.04;10162;11386.34;38789.88;457725763.37;11800.13
2018-01-17 00:00:00;11393.97;11794.07;9222;11191.35;41356.19;433168120.05;10474.08
2018-01-18 00:00:00;11199;12146;10693;11247.57;22195.26;256082649.98;11537.72
2018-01-19 00:00:00;11290.9;12050.39;11025.18;11552;13203.26;151834406.42;11499.77
2018-01-20 00:00:00;11560.82;13052.12;11515.94;12775.99;10324.06;128912075.53;12486.57
2018-01-21 00:00:00;12782.99;12791.88;11100;11558.87;11596.44;137150604.64;11826.96
2018-01-22 00:00:00;11558.87;11910.78;10028.41;10808.99;17067.73;186028930.55;10899.45
2018-01-23 00:00:00;10810;11409.87;9927.54;10851.82;17250.18;184369293.73;10687.97
2018-01-24 00:00:00;10848.99;11500;10488.13;11400.96;11646.79;128825119.68;11061
2018-01-25 00:00:00;11400.98;11741.82;10868.57;11155.54;10212.92;115421975.03;11301.56
2018-01-26 00:00:00;11140.01;11635;10263.32;11092.95;15074.67;164020352.52;10880.53
2018-01-27 00:00:00;11093.74;11630.47;10815.84;11446.54;10309.81;116376809.52;11287.97
2018-01-28 00:00:00;11446.54;11989.15;11360.52;11685.58;9956.09;116531522.53;11704.54
2018-01-29 00:00:00;11685.58;11820.01;10991;11162.62;9996.36;112806531.76;11284.76
2018-01-30 00:00:00;11162.62;11222.36;9731.2;9971;21082.19;219169216.36;10395.94
2018-01-31 00:00:00;9971;10324;9514.96;10149;12743.51;126723437.34;9944.16
2018-02-01 00:00:00;10148.99;10187.56;8455;8998.99;26356.59;243067799.6;9222.28
2018-02-02 00:00:00;9010.87;9096.79;7625.25;8838.83;44406.02;373423805.08;8409.31
2018-02-03 00:00:00;8838.29;9491.2;8170.71;9225.86;16208.37;144713399.47;8928.31
2018-02-04 00:00:00;9225.31;9350.09;7825;8191;19110.67;162005632.56;8477.23
2018-02-05 00:00:00;8190.78;8335.56;6600;6874.27;46544.43;342210634.65;7352.34
2018-02-06 00:00:00;6878.65;8150;5920.72;7737.37;70961.37;487504446.04;6870
2018-02-07 00:00:00;7737.26;8649;7213.8;7588.01;32640.89;260674865.84;7986.14
2018-02-08 00:00:00;7588.01;8644.36;7565.5;8259.76;22746.39;187157997.66;8228.03
2018-02-09 00:00:00;8259.42;8779.62;7753.32;8693.98;18418.12;152040059.86;8254.92
2018-02-10 00:00:00;8693.98;9090.8;8170.86;8560;14670.56;127082570.69;8662.42
2018-02-11 00:00:00;8560;8560;7820;8067;12711.79;103542540.61;8145.4
2018-02-12 00:00:00;8077.25;8995;8067;8899;15071.04;130557481.61;8662.8
2018-02-13 00:00:00;8891.2;8951.89;8360.13;8522.99;11374.52;97689771.64;8588.47
2018-02-14 00:00:00;8504.57;9515;8504.57;9490.98;17468.74;158839393.25;9092.78
2018-02-15 00:00:00;9490.98;10234;9350;10018;21036.34;206814744.85;9831.31
2018-02-16 00:00:00;10011.3;10300;9707.51;10196;11857.64;118860367.74;10023.95
2018-02-17 00:00:00;10203.14;11135.83;10053.5;11101;14511.17;155314935.18;10703.13
2018-02-18 00:00:00;11101;11300;10153.15;10421.06;17623.08;188724919.34;10708.96
2018-02-19 00:00:00;10433.68;11262.48;10307.51;11173;11698.26;127802568.07;10924.92
2018-02-20 00:00:00;11159.12;11780;11080.37;11233.41;15880.91;182156478.02;11470.15
2018-02-21 00:00:00;11233.42;11275.74;10256;10449.4;19959.68;215353691.94;10789.44
